,Batter,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,SD+
35,Trey Hair,0.3206349206349206,0.8008658008658008,0.5238095238095238,0.2985074626865671,0.7014925373134329,0.3681318681318681,0.1556776556776556,108.0
36,Zach Biermann,0.3180379746835443,0.736013986013986,0.5166112956810631,0.282520325203252,0.717479674796748,0.4086378737541528,0.1079734219269103,172.0
37,Pavin Parks,0.2511627906976744,0.6878612716763006,0.4458762886597938,0.244140625,0.755859375,0.3298969072164948,0.1159793814432989,266.0
38,Aaron Altherr,0.2323529411764706,0.6523972602739726,0.4264240506329114,0.2171717171717171,0.7828282828282829,0.3132911392405063,0.113132911392405,207.0
39,Jake Boone,0.3016453382084095,0.7101910828025477,0.52,0.2073921971252566,0.7926078028747433,0.414468085106383,0.105531914893617,140.0
40,Bren Spillane,0.25,0.696526508226691,0.4674977738201246,0.1795580110497237,0.8204419889502762,0.3223508459483526,0.145146927871772,149.0
41,Daniel Robinson,0.1663019693654266,0.6075697211155379,0.397288842544317,0.1526479750778816,0.8473520249221184,0.3347236704900938,0.0625651720542231,165.0
42,Micah Yonamine,0.3183279742765273,0.6505295007564297,0.4894777864380358,0.2352941176470588,0.7647058823529411,0.3445050662509742,0.1449727201870616,139.0
43,Peyton Isaacson,0.3164335664335664,0.6823529411764706,0.5029991431019709,0.2511415525114155,0.7488584474885844,0.3753213367609254,0.1276778063410454,136.0
44,Matt Morgan,0.3167701863354037,0.6831955922865014,0.5109489051094891,0.1330049261083744,0.8669950738916257,0.2963503649635036,0.2145985401459854,58.0
45,Carson Matthews,0.3768844221105528,0.7695852534562212,0.5817307692307693,0.2203389830508474,0.7796610169491526,0.4254807692307692,0.15625,37.0
46,Junior Martina,0.2932692307692308,0.7219662058371735,0.5121568627450981,0.2024793388429752,0.7975206611570248,0.3796078431372549,0.1325490196078431,146.0
47,Nate Scantlin,0.273449920508744,0.7024539877300614,0.4918032786885246,0.2176470588235294,0.7823529411764706,0.3981264637002342,0.0936768149882904,173.0
48,Juan Kelly,0.2816,0.6785714285714286,0.4641313742437338,0.2745098039215686,0.7254901960784313,0.3526361279170268,0.111495246326707,182.0
49,Steve Brown,0.2523020257826888,0.6911196911196911,0.4665409990574929,0.2231182795698924,0.7768817204301075,0.3506126295947219,0.1159283694627709,141.0
50,Rodrigo Orozco,0.2108843537414966,0.6081081081081081,0.4101694915254237,0.2161290322580645,0.7838709677419354,0.3502824858757062,0.0598870056497175,153.0
51,Ricardo Sanchez,0.2833333333333333,0.5711538461538461,0.433,0.2747875354107649,0.7252124645892352,0.353,0.08,123.0
52,Dalton Combs,0.2316017316017316,0.7100456621004566,0.4644444444444444,0.2231638418079096,0.7768361581920904,0.3933333333333333,0.0711111111111111,165.0
53,Austin Markmann,0.2137931034482758,0.7172995780590717,0.4763476347634763,0.16,0.84,0.3575357535753575,0.1188118811881188,122.0
54,Noah Myers,0.1586776859504132,0.5377094972067039,0.364118092354277,0.1454081632653061,0.8545918367346939,0.2967448902346707,0.0673732021196063,212.0
55,Gabe Holt,0.2586666666666666,0.6685878962536023,0.4556786703601108,0.2962962962962963,0.7037037037037037,0.4113573407202216,0.0443213296398892,119.0
56,Clint Freeman,0.328525641025641,0.6614785992217899,0.4789103690685413,0.3372365339578454,0.6627634660421545,0.375219683655536,0.1036906854130052,156.0
57,Andrew Penner,0.3063660477453581,0.6308290155440415,0.4705111402359109,0.2949152542372881,0.7050847457627119,0.3866317169069462,0.0838794233289646,179.0
58,D.j. Stewart,0.3789473684210526,0.7478108581436077,0.5635407537248028,0.2614770459081836,0.7385229540918163,0.43908851884312,0.1244522348816827,124.0
59,Alex Hernandez,0.3451612903225806,0.649746192893401,0.515625,0.2543103448275862,0.7456896551724138,0.3295454545454545,0.1860795454545454,40.0
60,Abdiel Diaz,0.2019230769230769,0.6183953033268101,0.4083414161008729,0.2234957020057306,0.7765042979942693,0.3385063045586809,0.069835111542192,158.0
61,Eric Rivera,0.1842900302114803,0.5448179271708683,0.3713662790697674,0.2039473684210526,0.7960526315789473,0.3313953488372093,0.0399709302325581,224.0
62,Peter Zimmermann,0.2071197411003236,0.6040609137055838,0.4011579818031431,0.2077922077922078,0.7922077922077922,0.3184449958643507,0.0827129859387924,197.0
63,Jairus Richards,0.1630695443645084,0.575,0.3594730238393977,0.2008639308855291,0.7991360691144709,0.2904642409033877,0.06900878293601,293.0
64,Mark Vierling,0.3222222222222222,0.5951859956236324,0.4597574421168688,0.3090909090909091,0.6909090909090909,0.3638368246968026,0.0959206174200661,114.0
65,Matt Feinstein,0.1808873720136518,0.5757575757575758,0.3900481540930979,0.1822916666666666,0.8177083333333334,0.3081861958266452,0.0818619582664526,95.0
66,Matthew Warkentin,0.3431151241534989,0.7134020618556701,0.5366379310344828,0.2034883720930232,0.7965116279069767,0.3706896551724138,0.1659482758620689,87.0
67,Gj Hill,0.3449781659388646,0.8122171945701357,0.5744444444444444,0.283987915407855,0.716012084592145,0.3677777777777777,0.2066666666666666,93.0
68,Matt Mcgarry,0.2569169960474308,0.6451077943615257,0.4679891794409377,0.1722365038560411,0.8277634961439588,0.3507664562669071,0.1172227231740306,126.0
69,Marc-antoine Lebreux,0.1534391534391534,0.55096011816839,0.3697749196141479,0.1530054644808743,0.8469945355191257,0.2942122186495177,0.0755627009646302,178.0
70,David Glaude,0.1983870967741935,0.6220362622036262,0.4255796559461481,0.1826086956521739,0.8173913043478261,0.344053851907255,0.081525804038893,179.0
71,Juremi Profar,0.2454672245467224,0.6462324393358876,0.4546666666666666,0.2137809187279152,0.7862190812720848,0.3773333333333333,0.0773333333333333,211.0
72,Justin Gideon,0.2936507936507936,0.7718277066356228,0.5479876160990712,0.2116903633491311,0.7883096366508688,0.3919504643962848,0.1560371517027863,161.0
73,Bryan Leef,0.332089552238806,0.7453183520599251,0.5383177570093458,0.2299465240641711,0.7700534759358288,0.3495327102803738,0.1887850467289719,47.0
74,Kyle Crowl,0.1726190476190476,0.6161473087818697,0.399854862119013,0.1518987341772152,0.8481012658227848,0.2866473149492017,0.1132075471698113,208.0
75,Tj White,0.2725,0.6174934725848564,0.4412515964240102,0.2653061224489796,0.7346938775510204,0.3441890166028097,0.0970625798212005,207.0
76,Ruben Castro,0.1539888682745825,0.5644067796610169,0.3684676705048715,0.1880108991825613,0.8119891008174387,0.325066430469442,0.0434012400354295,185.0
