,Pitcher,o-xwOBA,o-xBA,o-xSLG
31,Turner Larkins,0.3083052337169647,0.29180479049682617,0.4265284417197108
32,Nathan Holt,0.3633461892604828,0.32413357496261597,0.5289374412968755
33,Jacob Kush,0.30958524346351624,0.2848290205001831,0.4394676014780998
34,Trevor Kuncl,0.327890545129776,0.32295167446136475,0.43653813656419516
35,Collin Sullivan,0.29937228560447693,0.2750188708305359,0.42519492842257023
36,Nick Macdonald,0.34761133790016174,0.32893848419189453,0.48081315122544765
37,Henry Omana,0.2650704085826874,0.24084323644638062,0.3802073737606406
38,Logan Schmidt,0.3684805929660797,0.3425264358520508,0.5178366266191006
39,Lukas Veinbergs,0.3305876851081848,0.30437517166137695,0.46876311767846346
40,Carter Poiry,0.3288203775882721,0.30772578716278076,0.45950975362211466
41,Shumpei Yoshikawa,0.3219964802265167,0.27898675203323364,0.4799511870369315
42,Cole Bellair,0.33139511942863464,0.3049718141555786,0.4703971669077873
43,Brayden Bonner,0.3598375916481018,0.3402538299560547,0.4984557628631592
44,Steven Fuentes,0.3624478578567505,0.34076982736587524,0.5044065536931157
45,Garrison Bryant,0.30299028754234314,0.2626229524612427,0.4516399586573243
46,Austin Grossman,0.4097025394439697,0.38766783475875854,0.566455808468163
47,Rafi Vazquez,0.39888083934783936,0.35266876220703125,0.5849216394126415
48,Ray Weber,0.3589758276939392,0.32942473888397217,0.5106050781905651
49,Dwayne Marshall,0.38162532448768616,0.3579671382904053,0.5324138915166259
50,Zac Westcott,0.3326842188835144,0.30780112743377686,0.46994898933917284
51,Alec Thomas,0.3589417338371277,0.3261982798576355,0.5144962379708886
52,Jack Dellinger,0.3180818259716034,0.2895281910896301,0.45534002501517534
53,Jack Mcmahill,0.27910274267196655,0.2612112760543823,0.3904674556106329
54,Trevor Tietz,0.32718876004219055,0.3152170777320862,0.44469223730266094
55,Cam Aufderheide,0.3538273870944977,0.330876886844635,0.49498822167515755
56,Arrison Perez,0.381091445684433,0.3496430516242981,0.5417286986485124
57,Evan Braband,0.32987916469573975,0.3022831678390503,0.46966654155403376
58,Jackson Hickert,0.32836177945137024,0.2968382239341736,0.4730849163606763
59,Jose Ledesma jr.,0.3240126371383667,0.283738911151886,0.4789669578894973
60,Yasel Santana,0.3568201959133148,0.32204389572143555,0.5144943408668041
61,Tucker Smith,0.33728286623954773,0.3027268052101135,0.4886708287522197
62,Brac Warren,0.32425621151924133,0.28872060775756836,0.47306195367127657
63,Edgar Martinez,0.3348279297351837,0.3160299062728882,0.46483915112912655
64,Aaron Dana,0.3511841297149658,0.3176160454750061,0.5051690693944693
65,Jhon Vargas,0.35854148864746094,0.33515191078186035,0.5019728280603886
66,Mark Moclair,0.30901262164115906,0.2998241186141968,0.41781344451010227
67,Jonaiker Villalobos,0.31587252020835876,0.2994014024734497,0.4367947857826948
68,Angelo Baez,0.320094496011734,0.29527485370635986,0.4534786995500326
69,Zach Smith,0.3484550714492798,0.32274746894836426,0.4915364012122154
70,Andrew Dietz,0.34448757767677307,0.30452609062194824,0.5057025970891118
71,Garrett Cooper,0.305301308631897,0.27964621782302856,0.43555705714970827
72,Hayden Shenefield,0.3431309163570404,0.31477832794189453,0.48853657860308886
73,Taylor Sugg,0.3365594744682312,0.30638551712036133,0.482224078848958
74,Alex Hart,0.3521076440811157,0.31316816806793213,0.5143317747861147
75,Justin Showalter,0.33174896240234375,0.3187640309333801,0.45265628956258297
76,Ruben Ramirez,0.34864580631256104,0.3214839696884155,0.4936270276084542
77,Joey Gonzalez,0.3436839282512665,0.3154951333999634,0.48909930139780045
78,Aaron Glickstein,0.35169458389282227,0.3304765820503235,0.4899090835824609
79,Andy Hammond,0.34075820446014404,0.30755579471588135,0.4919775016605854
80,Ricky Castro,0.28991493582725525,0.2647174596786499,0.41415936034172773
81,Gage Feeney,0.3300141990184784,0.2770753502845764,0.5034370375797153
