,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Location+
49,Christian Lopez,99.29704958510753,,,110.80551604155448,,,101.29331111897561,105.04787453332025
50,Michael Kirian,105.07245172384407,,,,,,108.69394848766976,104.9245614492768
51,Carlos Sano,103.08713407047337,,,,,106.91840274579401,111.99062332086964,104.74886693090717
52,Nick Trabacchi,106.28423452485653,,,,,,108.87813655956198,104.56030905056917
53,Jd Hammer,109.67108454758807,,,,,90.6974940556987,112.25091583087234,104.12746958136758
54,Nate Florence,110.58988559839304,,,,,,83.95910398883808,104.0598239927972
55,Christian James,,,114.96323323774958,,,,86.31766210373841,103.98681405229316
56,Alec Whaley,100.9807083717093,,,,,104.43342879410602,110.23762982623944,103.75306572007541
57,Aaron Dana,110.28777780120306,,90.60992849644258,,,,107.94294110057365,103.72524689145712
58,Brac Warren,108.513806859062,,,,,,96.91221948405733,103.67149165053564
59,Matt Mulhearn,108.3072967628083,,,,,105.36272491482038,99.42489770699655,103.17101454711354
60,Lukas Veinbergs,108.92247756151691,103.32203896232261,,103.88894951822145,,66.44378515497358,,103.16346475023042
61,Brayden Bonner,,,106.121837820778,,,,101.33166002879312,103.15120715360663
62,Andy Hammond,110.86136784611624,97.91664421191368,,,,93.91115486549073,95.00286698460026,102.86052805292452
63,Yasel Santana,107.91047623783892,,,,,106.0017507099704,101.5832407789854,102.72940869309485
64,Javier Reynoso,112.5769622716746,,95.45512757065963,,,101.64002378360621,101.75084714789575,102.63622444850813
65,Parker Brahms,103.120631940092,114.19006025450142,,,,103.23549452026342,,102.53639656287076
66,Cal Djuraskovic,107.46186628740703,,,,,,97.65851807093888,102.39826395464688
67,Garrett Cooper,110.61339151265945,104.68623742526981,,,,96.0928856047246,,102.2844347910238
68,Adrien Reese,104.46313363198081,102.35360483066236,,,,,,102.11125165565016
69,Trevor Tietz,108.22350841266876,,,,,93.8817456702131,99.91414451340924,102.10306862878775
70,Perry Bewley,99.51931469113772,,,,,,105.66307728986884,102.06748488889691
71,Taylor Sugg,104.63922752899701,,,,,76.84708350811354,107.43982674480661,102.0644997344961
72,Frank Moscatiello,105.59973369483974,,,,,,100.37886506587989,101.97716837680599
73,Mitchell Senger,105.4220141420484,,,,,,99.2228860965691,101.89746244326744
74,Chandler Brierley,,,110.14610479426578,,84.54127034254499,,73.98907314959048,101.48736475076825
75,Dawson Lane,105.94546011158923,,,,88.021382319367,,101.82121379454252,101.3713247470128
76,Dwayne Marshall,103.89197576700498,96.39830078786854,,104.83425583625132,,,,101.03239555994313
