,Pitcher,Strike%,Zone%,Whiff%
63,Ray Weber,0.43788819875776397,0.5481366459627329,0.08385093167701864
64,Jose Ledesma jr.,0.41046831955922863,0.43388429752066116,0.07024793388429752
65,Abdiel Saldana,0.44664031620553357,0.58399209486166,0.09189723320158102
66,Carlos Sano,0.41800878477306,0.5373352855051244,0.08199121522693997
67,Steven Fuentes,0.41711711711711713,0.5126126126126126,0.0972972972972973
68,Alec Huertas,0.4318181818181818,0.5440340909090909,0.09090909090909091
69,Nate Garkow,0.47337278106508873,0.514792899408284,0.14349112426035504
70,Nick Garcia,0.42686567164179107,0.5552238805970149,0.07263681592039802
71,Parker Brahms,0.5019083969465649,0.5362595419847328,0.08969465648854962
72,Elijah Gill,0.4101338432122371,0.4904397705544933,0.06405353728489484
73,Kenny Pierson,0.4495726495726496,0.5111111111111111,0.10085470085470086
74,Logan Schmidt,0.42259887005649716,0.511864406779661,0.09943502824858758
75,Taylor Sugg,0.42082738944365194,0.5328102710413695,0.0884450784593438
76,Garrison Bryant,0.41025641025641024,0.38358974358974357,0.08205128205128205
77,Cole Cook,0.4751049790041992,0.5128974205158968,0.1331733653269346
78,Kobey Schlotman,0.45202952029520294,0.5719557195571956,0.09040590405904059
79,Michael Barker,0.3898858075040783,0.5008156606851549,0.07422512234910278
80,Alex Hart,0.4232142857142857,0.5428571428571428,0.09642857142857143
81,Carter Poiry,0.4383378016085791,0.4745308310991957,0.07640750670241286
82,Andres Rodriguez,0.3707136237256719,0.48748841519925856,0.08433734939759036
83,Griffin Baker,0.43410852713178294,0.4790697674418605,0.13178294573643412
84,Harley Gollert,0.46384039900249374,0.5610972568578554,0.10473815461346633
85,Zach Gettys,0.41512125534950073,0.514978601997147,0.08131241084165478
86,Derrick Edington,0.4405850091407678,0.5210237659963437,0.11517367458866545
87,Ryan Munoz,0.43792325056433407,0.5485327313769752,0.08803611738148984
88,Javier Reynoso,0.43626806833114323,0.5085413929040736,0.1366622864651774
89,Matt Mulhearn,0.40427046263345195,0.5195729537366548,0.08683274021352314
90,Jacob Kush,0.4326424870466321,0.47668393782383417,0.09326424870466321
91,Mike Reagan,0.437410071942446,0.5237410071942447,0.08920863309352518
92,Rafi Vazquez,0.43363844393592677,0.505720823798627,0.09038901601830664
93,Jackson Hickert,0.4259954921111946,0.4755822689706987,0.08564988730277986
94,Kobe Foster,0.4796905222437137,0.6015473887814313,0.10154738878143134
95,Dawson Lane,0.44517833553500663,0.5323645970937912,0.083223249669749
96,Kenny Mathews,0.5165217391304348,0.6052173913043478,0.10956521739130434
97,Kyle Seebach,0.4144645340751043,0.5006954102920723,0.12100139082058414
98,Cole Bellair,0.38220757825370677,0.4975288303130148,0.05848434925864909
99,Cam Aufderheide,0.44523326572008115,0.5862068965517241,0.09026369168356999
100,Hayden Shenefield,0.4292589027911453,0.5563041385948027,0.08084696823869104
101,Nathan Holt,0.4009216589861751,0.49001536098310294,0.09216589861751152
102,Grant Larson,0.47987371744277824,0.5469613259668509,0.13259668508287292
103,Garrett Christman,0.4423312883435583,0.5417177914110429,0.08773006134969324
104,Turner Larkins,0.4525316455696203,0.5197784810126582,0.08623417721518987
105,Aaron Glickstein,0.46088595664467485,0.5834118755890669,0.0763430725730443
106,Brayden Bonner,0.4116743471582181,0.5253456221198156,0.08141321044546851
107,Jesen Therrien,0.3977485928705441,0.4277673545966229,0.0900562851782364
108,Antonio Frias,0.45748116254036597,0.5059203444564048,0.1377825618945102
109,Bryan Pena,0.41965973534971646,0.502835538752363,0.0945179584120983
110,Perry Bewley,0.45866666666666667,0.492,0.112
111,Alec Whaley,0.45774647887323944,0.4665492957746479,0.1426056338028169
112,Tyler Thornton,0.3946886446886447,0.4258241758241758,0.08424908424908426
113,Ryder Yakel,0.49282296650717705,0.5023923444976076,0.1339712918660287
114,Justin Watland,0.4174863387978142,0.47978142076502733,0.09289617486338798
115,Chris Burica,0.47853535353535354,0.5833333333333334,0.13005050505050506
116,Christian Lopez,0.4650145772594752,0.5204081632653061,0.12099125364431487
117,Osman Gutierrez,0.4713216957605985,0.4925187032418953,0.12219451371571072
118,Stephen Knapp,0.43238993710691825,0.5628930817610063,0.08018867924528301
119,Darrien Ragins,0.4665856622114216,0.5309842041312273,0.13608748481166463
