,Batter,Avg. EV,Max EV,90th Percentile EV,Avg. LA,Avg. Direction,Approach Type
26,Manny Garcia,84.0330229547729,110.86245822414028,101.55827332,27.061072873773874,-8.500520598436674,Pull
27,Aj Wright,87.74223590021565,109.13444665836695,102.725185,26.372759062619068,8.411309793489922,Oppo
28,Jaxon Hallmark,82.93515893090992,104.46164007714638,96.88027860121956,26.606637067429492,25.105302100181714,Oppo
29,Carson Mccusker,88.95835228938618,116.67432668748316,106.85302860363554,25.959921014652977,7.368769371188478,Oppo
30,Trey Hair,88.75095128825853,111.2505236,104.01804408833107,23.434609099558852,24.181153075287614,Pull
31,Zach Biermann,84.00318534474769,110.9440362,100.4285607783668,24.395602368846305,0.09084408373401698,Gap-to-gap
32,Pavin Parks,83.521448808196,116.62600689269902,102.50890541169778,24.97360437508885,10.27366997619973,Pull
33,Aaron Altherr,90.25982223353954,116.23345847367608,105.9751612006144,24.821315692219073,7.230462877698114,Oppo
34,Jake Boone,79.73134562594525,104.3057014,96.22150373970901,25.62163379109494,2.9519838043436843,Gap-to-gap
35,Bren Spillane,85.44488243532233,111.0371293,103.81038912999999,27.35571047178385,5.726008102321782,Oppo
36,Daniel Robinson,80.7355523402144,104.8219494,98.711917069,22.97110010738413,-6.862377072624622,Oppo
37,Micah Yonamine,84.6534680559575,109.18106069494272,101.34294374,21.257770277286422,-1.4318349051878132,Gap-to-gap
38,Peyton Isaacson,83.86113956724871,107.11103152672692,99.02114997474388,21.062028912078784,-6.14702615748939,Oppo
39,Matt Morgan,81.1080594170602,109.21436812780138,99.39143743777873,21.159024747212474,8.635962429748407,Oppo
40,Carson Matthews,78.40387955305418,106.17580003190936,97.06288144149524,21.175412043094198,-1.4161059824675033,Gap-to-gap
41,Junior Martina,84.25192246703413,109.5601731065379,100.9591722142917,20.770301577268633,10.187458495594473,Oppo
42,Nate Scantlin,82.53325966312507,105.3002952,99.58823013,16.37727180122469,0.3151184245246478,Gap-to-gap
43,Steve Brown,82.46253470405676,108.7438239,102.10237171,24.03494476996925,-3.8363630130874897,Gap-to-gap
44,Ricardo Sanchez,86.25483181622411,104.4061202,98.764355429,24.779274633920465,6.0723510120279505,Pull
45,Dalton Combs,82.93525579804974,105.8029281,99.61052657,22.234501015418687,3.4317907638370144,Gap-to-gap
46,Austin Markmann,82.66257195599486,104.6519265,100.44882484000001,23.812276999775055,-1.1322983980061343,Gap-to-gap
47,Noah Myers,87.18941394284549,111.6383943,102.19178230375218,20.85317989111142,1.9276725267583872,Gap-to-gap
48,Gabe Holt,77.24013257453072,101.74002087760452,95.52714877148378,16.9632735038087,-4.384737799912872,Gap-to-gap
49,Clint Freeman,82.5302362472756,106.95615419281644,98.448374006,24.235147402719686,4.369248461589734,Gap-to-gap
50,Andrew Penner,83.13277715716697,104.28719270189404,95.88075748583017,23.261046630837132,15.865844695248029,Oppo
51,D.j. Stewart,81.67831792411977,107.44557282429172,99.53166734326473,21.88541887789817,3.526679400143304,Gap-to-gap
52,Alex Hernandez,75.89992133014884,99.44097073391576,92.659876836,24.629922181303584,1.7689735774251363,Gap-to-gap
53,Eric Rivera,78.2019043338232,99.39870796040525,92.53445192000001,21.064470034183817,10.546603734191745,Oppo
54,Peter Zimmermann,84.95538623626518,112.0948714,103.42808438522916,25.263057896753647,-0.35128054517829244,Gap-to-gap
55,Jairus Richards,85.28274609065652,107.31257966947705,100.64461779999999,21.268799983357283,8.307009720213578,Pull
