,Name,Age,Team,PA,1B,2B,3B,HR,R,SO,SB,BB,HBP,wOBA,wRAA,BA,SLG,OBP,BAbip,bat-WAR,Reliability
30,Bryan Leef,27.0,Capitales de Québec,278.71,38,9,2,12,45,97,8,16,9,0.30208,1.6387732231685435,0.24497991967871485,0.44176706827309237,0.3085644576800259,0.3475177304964539,0.16387732231685434,0.8200000000000001
31,Bryan Rosario,25.0,Evansville Otters,288.4784,52,7,1,0,40,56,37,32,9,0.2743531468531468,0.7492043066456906,0.2459016393442623,0.2827868852459016,0.35011286806915176,0.31746031746031744,0.07492043066456906,0.96
32,Cale Jones,25.0,Tri-City Valley Cats,144.958,21,5,0,2,18,35,3,14,2,0.27123239436619717,-4.043979617021592,0.224,0.312,0.3035361966914555,0.29213483146067415,-0.40439796170215925,0.10499999999999998
33,Caleb Feuerstake,26.0,Aigles de Trois-Rivières,141.84799999999998,21,4,0,3,19,32,4,14,3,0.2825539568345324,-2.1470166006751032,0.23140495867768596,0.33884297520661155,0.31724099035587394,0.28735632183908044,-0.21470166006751032,0.09499999999999997
34,Caleb McNeely,24.0,Washington WildThings,164.948,25,6,0,4,24,39,7,15,4,0.2944478527607362,-0.3673493571494624,0.24475524475524477,0.3706293706293706,0.32737590028372576,0.3069306930693069,-0.03673493571494624,0.18500000000000005
35,Canice Ejoh,27.0,Aigles de Trois-Rivières,175.0536,24,6,1,2,26,47,6,22,4,0.28638728323699425,-1.5608692843309113,0.22448979591836735,0.3197278911564626,0.3370396267200446,0.3163265306122449,-0.15608692843309113,0.6599999999999999
36,Carson Clowers,24.0,Washington WildThings,210.09799999999998,33,7,1,2,24,46,12,18,4,0.2729365853658537,-3.749723163516488,0.23626373626373626,0.31868131868131866,0.3093794324553304,0.3037037037037037,-0.3749723163516488,0.37250000000000005
37,Carson Matthews,24.0,Windy City ThunderBolts,210.09799999999998,27,8,2,3,24,50,5,16,3,0.26251941747572816,-6.706780328430834,0.21505376344086022,0.3279569892473118,0.2808213309979153,0.27611940298507465,-0.6706780328430834,0.37250000000000005
38,Carson McCusker,26.0,Tri-City Valley Cats,258.068,45,16,0,17,58,56,3,23,0,0.42857421874999996,24.632659440758033,0.33766233766233766,0.6277056277056277,0.3913697165088272,0.38125,2.463265944075803,1.0
39,Chase Dawson,27.0,Schaumburg Boomers,432.77139999999997,82,19,13,5,80,40,34,35,9,0.3515594405594406,22.032884256887225,0.3123359580052493,0.46981627296587924,0.3766422642531369,0.3352941176470588,2.2032884256887226,1.0
41,Chris Kwitzer,29.0,New York Boulders,374.5892661555312,64,21,2,11,54,86,12,22,5,0.330994623655914,8.461739088159907,0.2857142857142857,0.45481049562682213,0.3336988304093567,0.35080645161290325,0.8461739088159907,1.0
42,Christian Fedko,26.0,Joliet Slammers,265.21999999999997,43,10,1,4,33,45,8,28,5,0.3033664122137405,0.61290547556557,0.2555066079295154,0.36123348017621143,0.3431113792323355,0.3,0.061290547556556996,0.6125
43,Ciaran Devenney,26.0,Tri-City Valley Cats,141.7288,19,5,0,3,18,32,3,12,3,0.26878417266187055,-3.9749874192440036,0.21951219512195122,0.3333333333333333,0.2963406167271578,0.2696629213483146,-0.3974987419244004,0.14249999999999996
44,Cito Culver,31.0,Tri-City Valley Cats,372.47007616974975,56,14,1,7,51,70,6,57,2,0.3309837398373984,6.561919452161803,0.2549019607843137,0.3758169934640523,0.36781478235465964,0.30472103004291845,0.6561919452161803,1.0
45,Clint Freeman,33.0,Gateway Grizzlies,330.2702702702702,46,14,0,12,44,56,1,24,4,0.30026139817629177,-3.1336010011776327,0.24242424242424243,0.4107744107744108,0.30278232405891986,0.2575107296137339,-0.3133601001177633,1.0
46,Cole Barr,26.0,Gateway Grizzlies,149.596,21,5,0,3,19,37,4,13,3,0.2709047619047619,-3.8468941102075567,0.2230769230769231,0.33076923076923076,0.3008101820904302,0.2857142857142857,-0.38468941102075566,0.12749999999999995
47,Cole Brannen,25.0,Florence Y'Alls,280.2122,50,5,2,1,40,46,23,39,1,0.3038823529411765,3.2042847046993983,0.2555066079295154,0.30837004405286345,0.34973495086937684,0.3081081081081081,0.32042847046993983,1.0
48,Collin Mathews,25.0,Lake Erie Crushers,140.166,19,5,0,2,17,34,4,12,4,0.2580802919708029,-4.769110010622927,0.21666666666666667,0.30833333333333335,0.29964470699028295,0.2823529411764706,-0.47691100106229267,0.08499999999999996
49,Connor Bagnieski,26.0,Tri-City Valley Cats,150.192,22,5,0,2,19,33,5,15,2,0.2727482993197279,-3.7022335732229514,0.2248062015503876,0.31007751937984496,0.3062746351336955,0.28421052631578947,-0.37022335732229517,0.13
50,Cooper Edwards,26.0,Florence Y'Alls,174.9856,20,4,0,2,18,49,3,18,4,0.23178698224852073,-10.521786400254346,0.17687074829931973,0.24489795918367346,0.27430828593895723,0.25,-1.0521786400254345,0.47
51,Craig Massey,35.0,Florence Y'Alls,295.9183673469388,53,10,1,3,45,27,10,32,2,0.3030340136054422,-0.28179404340374803,0.25769230769230766,0.3384615384615385,0.3413103448275862,0.2782608695652174,-0.028179404340374803,1.0
52,Cristopher Céspedes,26.0,Empire State Greys,227.076,29,11,1,4,26,55,3,16,4,0.2679107142857143,-7.274084470725587,0.22277227722772278,0.3465346534653465,0.2862477760749705,0.2827586206896552,-0.7274084470725587,0.4525
53,D.J. Stewart,25.0,Gateway Grizzlies,358.68119999999993,65,13,0,13,42,60,17,22,5,0.3237492957746479,7.659174287908836,0.2826086956521739,0.4440993788819876,0.3289829519919082,0.3058823529411765,0.7659174287908835,1.0
54,Dakota Phillips,28.0,Evansville Otters,382.32,51,24,0,16,56,121,0,38,6,0.3510552631578947,12.921183366540516,0.2740963855421687,0.49096385542168675,0.3531073446327684,0.3768844221105528,1.2921183366540516,1.0
55,Dalton Combs,29.0,Aigles de Trois-Rivières,305.0383351588171,60,13,2,8,48,35,8,32,5,0.3662052980132451,16.72754082977768,0.3192307692307692,0.47692307692307695,0.39339317773788146,0.33783783783783783,1.672754082977768,1.0
