,Name,Age,Tm,IP,W,L,S,K,BB,HR,ERA,FIP,BB/9,K/9,K/BB,Reliability
0,Cole Cook,26.0,JOL,131.37032,11,4,0,124,28,4,2.6033277531789527,2.60369994903719,3.111111111111111,13.777777777777779,4.428571428571429,1.0
1,Joey Gonzalez,27.0,GAT,111.03332,10,5,0,111,46,17,4.458121219828426,4.690115580616623,5.111111111111111,12.333333333333334,2.4130434782608696,1.0
2,Turner Larkins,28.0,JOL,103.36799999999998,8,4,0,73,28,7,4.092175528209892,3.736802768797132,3.111111111111111,8.11111111111111,2.607142857142857,1.0
3,Collin Sullivan,26.0,GAT,101.3796,9,4,0,124,32,7,2.663257696814744,2.8545527667238084,3.5555555555555554,13.777777777777779,3.875,1.0
4,Steven Fuentes,27.0,QUE,90.136,8,2,0,58,32,5,2.4962279222508212,3.9554973123061927,3.5555555555555554,6.444444444444445,1.8125,0.92
5,Tim Holdgrafer,27.0,EVN,107.9853,8,4,0,94,18,4,2.833719033979625,2.69688911090724,2.0,10.444444444444445,5.222222222222222,1.0
6,Ruben Ramirez,25.0,QUE,91.10789999999999,8,2,0,87,35,12,4.544062589522973,4.411163431451436,3.888888888888889,9.666666666666666,2.4857142857142858,0.9209999999999999
7,Lukas Veinbergs,27.0,GAT,103.44291999999999,9,2,0,91,29,9,3.9152027030946153,3.6689294055549952,3.2222222222222223,10.11111111111111,3.1379310344827585,1.0
8,Garrett Christman,28.0,WCT,122.21259999999998,6,5,0,92,30,9,3.6821080641439594,3.6444483622456083,3.3333333333333335,10.222222222222221,3.066666666666667,1.0
9,Osman Gutierrez,29.0,TRI,107.7437020810515,6,4,0,114,48,12,5.0954254345837136,4.124504243867007,5.333333333333333,12.666666666666666,2.375,1.0
10,Grant Larson,27.0,OTT,113.87971999999999,9,7,1,96,23,5,3.4773531231021644,2.9469424320481354,2.5555555555555554,10.666666666666666,4.173913043478261,1.0
