,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Stuff+
98,Cole Bellair,67.74628037240986,106.13974372139418,,,,117.8284900223749,,89.08325012195594
99,Cam Aufderheide,99.68326321516676,99.40251501175943,,86.03555054007661,,117.01296436782786,,89.00825998025289
100,Hayden Shenefield,99.99750528637757,,,,,90.66967003399837,92.29080548735017,88.80970134232975
101,Nathan Holt,83.04680434518605,,,88.4171418743935,,,103.18685723462984,87.46947235104818
102,Grant Larson,,101.82031132708909,77.86385316308684,,,83.41089835191843,,87.37410376863511
103,Garrett Christman,66.05301695956504,94.1250380688208,,,,128.23695577642965,,87.12660754280951
104,Turner Larkins,60.37604225969114,,,,,127.45871666106252,101.46267364073323,86.24029850748556
105,Aaron Glickstein,90.36116960293774,,,89.6718907047921,,,95.9351447818659,85.8951160074922
106,Brayden Bonner,,,99.31290816087176,,,,91.85865073314885,85.1005574146801
107,Jesen Therrien,94.74461507200976,,,90.12121817544413,,,96.87759528879431,84.48427125260638
108,Antonio Frias,73.09324871366461,105.64171923218959,,,,,,83.470691065672
109,Bryan Pena,91.24369460808695,,,79.47727887559194,,,94.3211057701874,82.57117042762391
110,Perry Bewley,110.13469360323309,,,,,,88.68206786370169,81.51231026443317
111,Alec Whaley,104.73849834830362,,,,,73.19233223679203,91.44076410765396,80.82939841673328
112,Tyler Thornton,64.19980957546916,,,83.99447062606636,,,89.18480932304578,79.31202126517628
113,Ryder Yakel,64.36368259387281,95.02803009912756,,,,,,77.6722157314711
114,Justin Watland,68.82409332584736,,,,,116.35308284872336,84.34712271231705,77.53074452290124
115,Chris Burica,91.51015673523634,,,85.00724146589629,,,92.62573659771351,70.14940272200808
116,Christian Lopez,70.69022812683326,,,84.42259639633541,,,96.31297506269165,67.08920376363886
117,Osman Gutierrez,,,78.5004429537192,79.23128086209806,,,73.92723807089368,64.9729392342588
118,Stephen Knapp,82.1283808294373,,,,,70.88826170161315,75.3302900338617,63.198558352107504
119,Darrien Ragins,,,,89.658528100196,,,80.73467945082663,54.65215546655223
